_key,title,price,listed_price,link
Samsung Galaxy Z Fold2 5G - Chính hãng - Phiên bản mùa xuân,Samsung Galaxy Z Fold2 5G - Chính hãng - Phiên bản mùa xuân,46000000,50000000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-z-fold2-5g-chinh-hang-phien-ban-mua-xuan
Samsung Galaxy Z Flip - Chính hãng,Samsung Galaxy Z Flip - Chính hãng,19990000,36000000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-z-flip-chinh-hang
iPhone SE - 256GB - 2020 Chính hãng VN/A,iPhone SE - 256GB - 2020 Chính hãng VN/A,14990000,16990000,https://hoanghamobile.com/dien-thoai-di-dong/iphone-se-256gb-2020-chinh-hang-vn-a
Vivo V20 - 8GB/128GB - Chính hãng,Vivo V20 - 8GB/128GB - Chính hãng,7050000,7050000,https://hoanghamobile.com/dien-thoai-di-dong/vivo-v20-8gb-128gb-chinh-hang
Apple iPhone 11 Pro Max - 64GB - Chính hãng VN/A,Apple iPhone 11 Pro Max - 64GB - Chính hãng VN/A,24990000,29990000,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-pro-max-64gb-chinh-hang-vn-a
Apple iPhone 11 Pro Max - 512GB - Chính hãng VN/A,Apple iPhone 11 Pro Max - 512GB - Chính hãng VN/A,32990000,37990000,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-pro-max-512gb-chinh-hang-vn-a
Apple iPhone 11 Pro Max - 256GB - Chính hãng VN/A,Apple iPhone 11 Pro Max - 256GB - Chính hãng VN/A,28990000,33990000,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-pro-max-256gb-chinh-hang-vn-a
Apple iPhone 11 Pro - 256GB - Chính hãng VN/A,Apple iPhone 11 Pro - 256GB - Chính hãng VN/A,25990000,30990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-11-pro-256gb-chinh-hang
Samsung Galaxy A01 Core - Chính Hãng,Samsung Galaxy A01 Core - Chính Hãng,1690000,1990000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-a01-core-chinh-hang
Apple iPhone 11 Pro - 64GB Chính hãng VN/A,Apple iPhone 11 Pro - 64GB Chính hãng VN/A,22290000,26990000,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-pro-64gb-chinh-hang-vn-a
Samsung Galaxy A11 - Chính hãng,Samsung Galaxy A11 - Chính hãng,2750000,3690000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-a11-chinh-hang
OPPO A15 - Chính hãng	,OPPO A15 - Chính hãng	,3090000,3090000,https://hoanghamobile.com/dien-thoai-di-dong/oppo-a15-chinh-hang
Masstel izi 112 - Chính hãng,Masstel izi 112 - Chính hãng,180000,180000,https://hoanghamobile.com/dien-thoai-di-dong/masstel-izi-112-chinh-hang
Samsung Galaxy A31 - Chính hãng,Samsung Galaxy A31 - Chính hãng,5250000,6490000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-a31-chinh-hang
Samsung Galaxy A51 - Chính hãng,Samsung Galaxy A51 - Chính hãng,5890000,7990000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-a51-chinh-hang
Itel IT2590 - Máy người già - Chính hãng,Itel IT2590 - Máy người già - Chính hãng,380000,380000,https://hoanghamobile.com/dien-thoai-di-dong/itel-it2590-may-nguoi-gia-chinh-hang
Vivo V20 SE - Chính hãng,Vivo V20 SE - Chính hãng,5990000,5990000,https://hoanghamobile.com/dien-thoai-di-dong/vivo-v20-se-chinh-hang
Nokia 215 4G chính hãng,Nokia 215 4G chính hãng,720000,720000,https://hoanghamobile.com/dien-thoai-di-dong/nokia-215-4g-chinh-hang
Samsung Galaxy Note 10 Lite - Chính hãng,Samsung Galaxy Note 10 Lite - Chính hãng,10390000,11490000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-note-10-lite-chinh-hang
Blackberry KEY 2 - Chính hãng,Blackberry KEY 2 - Chính hãng,9900000,9900000,https://hoanghamobile.com/dien-thoai-di-dong/blackberry-key-2-chinh-hang
Vivo S1 Pro - 8GB/128GB - Chính hãng,Vivo S1 Pro - 8GB/128GB - Chính hãng,5490000,5490000,https://hoanghamobile.com/dien-thoai-di-dong/vivo-s1-pro-8gb-128gb-chinh-hang
BlackBerry KEY 2 LE - Chính hãng,BlackBerry KEY 2 LE - Chính hãng,4290000,4290000,https://hoanghamobile.com/dien-thoai-di-dong/blackberry-key-2-le-chinh-hang
Blackberry Key One - Silver - Chính hãng,Blackberry Key One - Silver - Chính hãng,3990000,15990000,https://hoanghamobile.com/dien-thoai-di-dong/blackberry-key-one-silver-chinh-hang
Vivo Y11 - 3GB/32GB - Chính hãng,Vivo Y11 - 3GB/32GB - Chính hãng,2590000,2590000,https://hoanghamobile.com/dien-thoai-di-dong/vivo-y11-3gb-32gb-chinh-hang
Honor 10 Lite - 3GB/32GB - Chính hãng,Honor 10 Lite - 3GB/32GB - Chính hãng,2490000,2490000,https://hoanghamobile.com/dien-thoai-di-dong/honor-10-lite-3gb-32gb-chinh-hang
OPPO A12 - 3GB/32GB - Chính hãng,OPPO A12 - 3GB/32GB - Chính hãng,2650000,2990000,https://hoanghamobile.com/dien-thoai-di-dong/oppo-a12-3gb-32gb-chinh-hang
Huawei Y7 Pro 2019 - Chính hãng,Huawei Y7 Pro 2019 - Chính hãng,2890000,2890000,https://hoanghamobile.com/dien-thoai-di-dong/huawei-y7-pro-2019-chinh-hang
Realme 6 pro - 8GB/128GB - Snapdragon 720G - Màn hình 90 Hz - Chính hãng,Realme 6 pro - 8GB/128GB - Snapdragon 720G - Màn hình 90 Hz - Chính hãng,7150000,7150000,https://hoanghamobile.com/dien-thoai-di-dong/realme-6-pro-8gb-128gb-snapdragon-720g-man-hinh-90-hz-chinh-hang
