_key,id,label,now_price,old_price,brand,currency,description,link
92406,92406,Điện thoại Samsung Galaxy A51 128GB Xanh,5990000,7990000,Samsung,VND,"<p>Màn hình vô cực 6.5"" Full HD+ trải nghiệm hình ảnh tuyệt vời</p><p>Điện thoại sở hữu bộ 4 camera đỉnh cao bắt trọn khoảnh khắc</p><p>Thoải mái lưu trữ các ứng dụng với dung lượng 128GB</p><p>RAM 6GB cho khả năng vận hành mượt mà và ổn định</p><p>Bảo mật vân tay mở khóa nhanh chóng an toàn và chính xác</p><p>Dung lượng pin 4000 mAh, hỗ trợ sạc nhanh 15W sạc an toàn</p>",https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a51-128gb-92406.html
92411,92411,Điện thoại Samsung Galaxy A51 128GB Đen,5990000,7990000,Samsung,VND,"<p>RAM 6GB, Chipset Exynos 9611 8 nhân xử lý mượt mà tác vụ</p><p>Màn hình vô cực 6.5"" Full HD+ trải nghiệm hình ảnh tuyệt vời</p><p>Dung lượng pin 4000 mAh, hỗ trợ sạc nhanh 15W sạc an toàn</p><p>Bộ 4 camera sau đến 48MP đem lại những bộ ảnh cực chất</p><p>Tích hợp cảm ứng vân tay dưới màn hình, nhận diện khuôn mặt</p>",https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a51-128gb-vi-2.html
92416,92416,Điện thoại Samsung Galaxy A51 128GB Trắng,5990000,7990000,Samsung,VND,"<p>Màn hình vô cực 6.5"" Full HD+ trải nghiệm hình ảnh tuyệt vời</p><p>Điện thoại sở hữu bộ 4 camera đỉnh cao bắt trọn khoảnh khắc</p><p>Thoải mái lưu trữ các ứng dụng với dung lượng 128GB</p><p>RAM 6GB cho khả năng vận hành mượt mà và ổn định</p><p>Bảo mật vân tay mở khóa nhanh chóng an toàn và chính xác</p><p>Dung lượng pin 4000 mAh, hỗ trợ sạc nhanh 15W </p>",https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a51-128gb-vi.html
93005,93005,Điện thoại Vsmart Active 3 (6GB/64GB) Xanh Lục Bảo,3190000,3990000,Vsmart,VND,"<p>Màn hình tràn viền AMOLED 6.39"" cho hình ảnh tươi sáng</p><p>CPU MediaTek Helio P60 8 nhân hiệu năng hoạt động ổn định</p><p>Bộ 3 camera lên tới 48MP ghi lại mọi khoảnh khắc đẹp nhất</p><p>Camera selfie trượt 16MP với AI Beauty cho bức ảnh sắc nét</p><p>Tích hợp cảm biến vân tay mặt lưng bảo mật cao, mở khóa nhanh</p>",https://www.nguyenkim.com/vsmart-active-3-6gb-64gb-xanh-luc-bao.html
93129,93129,Điện thoại Samsung Galaxy A71 Xanh,7790000,10490000,Samsung,VND,"<p>Kính cường lực Gorilla Glass 3 chịu lực và chống va đập tốt</p><p>Bộ 4 camera sau với camera macro cận cảnh lấy nét 3~5cm</p><p>Thỏa sức selfie với camera trước 32 MP nổi bật thần thái</p><p>Chip Snapdragon 730 8 nhân, RAM 8GB đa nhiệm mượt mà</p><p>Cảm biến vân tay dưới màn hình, mở khóa nhanh chóng</p>",https://www.nguyenkim.com/samsung-galaxy-a71-xanh.html
93172,93172,Điện thoại Samsung Galaxy S20 Ultra Xám,20990000,29990000,Samsung,VND,"<p>Màn hình 6.9 inch Dynamic AMOLED 2X sắc nét và chi tiết</p><p>Camera đỉnh cao, độ phân giải siêu khủng lên đến 108MP</p><p>Chế độ Space Zoom 100x chụp vật ở khoảng cách rất xa</p><p>Ấn tượng với khả năng quay phim điện ảnh 8K đỉnh cao</p><p>Công nghệ AI cho những thước phim mượt mà chống nhòe</p><p>Hiệu năng mạnh mẽ chơi game mượt mà đỉnh cao</p><p>Dung lượng pin khủng 5000 mAh, hỗ trợ sạc nhanh</p><p>Cảm biến vân tay, tính năng nhận diện khuôn mặt </p>",https://www.nguyenkim.com/samsung-galaxy-s20-ultra.html
93357,93357,Vsmart Active 3 (4GB/64GB) Đen Thạch Anh,2890000,3490000,Vsmart,VND,"<p>Màn hình 6.39"" tràn viền, tấm nền AMOLED hình ảnh tươi sáng</p><p>Bộ vi xử lý MediaTek Helio P60 giải quyết mượt mà các tác vụ</p><p>Bộ 3 camera lên tới 48MP ghi lại mọi khoảnh khắc đẹp nhất</p><p>Camera selfie trượt 16MP với AI Beauty cho bức ảnh sắc nét</p><p>Tích hợp cảm biến vân tay mặt lưng bảo mật cao, mở khóa nhanh</p>",https://www.nguyenkim.com/vsmart-active-3-4gb-64gb-den-thach-anh.html
93689,93689,Oppo A31 (4GB/128GB) Đen,3990000,4490000,OPPO,VND,"<p>Dung lượng pin lớn đến 4230 mAh thoải mái dùng cả ngày</p><p>Màn hình tràn viền 6.5 inch thiết kế cầm nắm gọn gàng</p><p>Chipset Helio P35 8 nhân xử lý mượt mà mọi tác vụ</p><p>Camera trước 8 MP cho chất lượng ảnh selfie tuyệt đẹp</p><p>Bộ 3 camera sau chụp ảnh góc rộng, xóa phông chuyên nghiệp</p>",https://www.nguyenkim.com/oppo-a31-4gb-128gb-den.html
93691,93691,Oppo A31 (4GB/128GB) Trắng,3990000,4490000,OPPO,VND,"<p>Dung lượng pin lớn đến 4230 mAh thoải mái dùng cả ngày</p><p>Màn hình tràn viền 6.5 inch thiết kế cầm nắm gọn gàng</p><p>Chipset Helio P35 8 nhân xử lý mượt mà mọi tác vụ</p><p>Camera trước 8 MP cho chất lượng ảnh selfie tuyệt đẹp</p><p>Bộ 3 camera sau chụp ảnh góc rộng, xóa phông chuyên nghiệp</p>",https://www.nguyenkim.com/oppo-a31-4gb-128gb-trang.html
94066,94066,Realme C3 Đỏ,2790000,2990000,Realme,VND,"<p>Chipset MediaTek Helio G70 xử lý mượt mà mọi tác vụ</p><p>Màn hình tràn viền 6.5"" trên tấm nền IPS chịu lực cực kì tốt</p><p>Bộ camera sau tích hợp công nghệ AI cho hình ảnh chất lượng</p><p>Dung lượng pin lớn 5000 mAh cho thời gian sử dụng cả ngày</p><p>Cảm biến vân tay ở mặt lưng mở khóa nhanh, bảo mật tốt</p>",https://www.nguyenkim.com/realme-c3-do.html
